id,old_url,content_type,proposed_target,classification,decision_needed
1,http://www.vakitmatik.org/,homepage,https://www.vakitmatik.com.tr/,HAZIR_HEDEF,Hayır
2,http://www.vakitmatik.org/index.html,homepage_alias,https://www.vakitmatik.com.tr/,HAZIR_HEDEF,Hayır
3,http://www.vakitmatik.org/urunler/vakitmatik.html,cami_saati_category,https://www.vakitmatik.com.tr/cami-saati/,HAZIR_HEDEF,Hayır
4,http://www.vakitmatik.org/urunler/ezan-okuyan-saat.html,ezanmatik_category,,YENI_SAYFA_GEREKLI,Ezanmatik ürün ailesinin güncel durumu ve hedef URL
5,http://www.vakitmatik.org/urunler/ayet-hadis.html,ayet_hadis_category,https://www.vakitmatik.com.tr/ayet-hadis-panosu/,HAZIR_HEDEF,Hayır
6,http://www.vakitmatik.org/update/update.html,support_hub,https://www.vakitmatik.com.tr/destek/,YENI_SAYFA_GEREKLI,Eski ve yeni cihaz desteği ayrımı
7,http://www.vakitmatik.org/programlar.html,software_archive,https://www.vakitmatik.com.tr/destek/programlar/,YENI_SAYFA_GEREKLI,Program güvenliği ve cihaz uyumluluğu
8,http://www.vakitmatik.org/kilavuzlar.html,manual_archive,https://www.vakitmatik.com.tr/destek/kilavuzlar/,YENI_SAYFA_GEREKLI,Kılavuzların güncellik ve ürün eşlemesi
9,http://www.vakitmatik.org/fiyatlist/fiyatlist.html,price_intent,https://www.vakitmatik.com.tr/cami-saati-fiyatlari/,HAZIR_HEDEF,Hayır
10,http://www.vakitmatik.org/iletisim.html,contact,https://www.vakitmatik.com.tr/#iletisim,HAZIR_HEDEF,Hayır
11,http://www.vakitmatik.org/urunler/vakitmatik/vakitmatik-desenli-mavi.html,product,https://www.vakitmatik.com.tr/cami-saati/vakitmatik-desen-mavi/,YENI_SAYFA_GEREKLI,Sahibi onayladı Desen Mavi eşleşmesi; detay veya kategori hedefi açık
12,http://www.vakitmatik.org/urunler/vakitmatik/vakitmatik-desenli-siyah.html,product,https://www.vakitmatik.com.tr/cami-saati/vakitmatik-desen-siyah/,YENI_SAYFA_GEREKLI,Sahibi onayladı Desen Siyah eşleşmesi; detay veya kategori hedefi açık
13,http://www.vakitmatik.org/urunler/vakitmatik/vakitmatik-desenli-beyaz.html,product,,ESKI_URUN_SATIS_YOK,Sahibi onayladı güncel portföyde yok; eski destek veya 410 kararı açık
